state,x,y
Gujarat,-318,16
Maharashtra,-203,-101
Goa,-253,-223
Sikkim,173,166
West Bengal,160,26
Punjab,-189,266
Himachal Pradesh,-134,296
Uttarakhand,-89,239
Haryana,-171,211
Uttar Pradesh,-49,135
Bihar,95,107
Jharkhand,79,31
Chhattisgarh,2,-14
Madhya Pradesh,-120,21
Rajasthan,-249,137
Odisha,63,-62
Kerala,-184,-372
Tamil Nadu,-124,-367
Andhra Pradesh,-100,-235
Telangana,-89,-149
Arunachal Pradesh,336,207
Assam,294,133
Meghalaya,252,104
Mizoram,311,34
Manipur,352,86
Nagaland,353,132
Tripura,276,52
Karnataka,-187,-257
